,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
131,X,Grace Falls > Little River Canyon > Alabama,https://www.mountainproject.com/route/114324187/x,2.0,-1,Sport,5.13a,1,35.0,34.35929,-85.66846
132,Dogleg,Grace Falls > Little River Canyon > Alabama,https://www.mountainproject.com/route/115337291/dogleg,2.0,-1,Sport,5.12a,1,,34.35929,-85.66846
133,Id,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/115337417/id,2.0,-1,Sport,5.12c,1,,34.364979999999996,-85.66091999999999
134,Dune,Wave Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/119692360/dune,2.0,-1,Sport,5.11a,1,65.0,34.363890000000005,-85.66332
135,Purple Haze,Rocktoberfest > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/119818751/purple-haze,2.0,-1,Sport,5.11c,1,,34.36468,-85.65249
136,Lone Wolf aka Redneck Girls in Love,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/116848095/lone-wolf-aka-redneck-girls-in-love,1.8,-1,Sport,5.11b,1,,34.32235,-85.67426
137,Green Tag,Rocktoberfest > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112818694/green-tag,1.5,-1,Sport,5.11c,1,,34.36468,-85.65249
138,Watermelon Poptart,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/116700798/watermelon-poptart,1.5,-1,Trad,5.6 PG13,2,50.0,34.37859,-85.63084
139,Shewelltown,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116725202/shewelltown,1.0,-1,Sport,5.11b,1,,34.3588,-85.67018
140,Avox,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116608637/avox,1.0,-1,Sport,5.11d,1,,34.3588,-85.67018
141,Lee Trevino,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/117964031/lee-trevino,-1.0,-1,Sport,5.11c,1,,34.3588,-85.67018
