,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
13,Fight Club,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/116088893/fight-club,4.0,-1,Sport,5.11d,1,,34.364979999999996,-85.66091999999999
14,Ruhama,Ninja Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112787113/ruhama,3.9,-1,Sport,5.11a,1,70.0,34.33722,-85.6725
15,Majosha,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/112908683/majosha,3.9,-1,Sport,5.12c,1,60.0,34.364979999999996,-85.66091999999999
16,Silverback,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/112396150/silverback,3.5,-1,Sport,5.13a,1,55.0,34.37859,-85.63084
17,Stealth,Ninja Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112787016/stealth,4.0,-1,Sport,5.13a,1,60.0,34.33722,-85.6725
18,Steel Magnolia,Brandnewbia > Little River Canyon > Alabama,https://www.mountainproject.com/route/116089910/steel-magnolia,4.0,-1,Sport,5.12a,1,,34.3577,-85.67626
19,Rumble in the Jungle,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112909468/rumble-in-the-jungle,3.9,-1,Sport,5.12c,1,,34.36605,-85.66144
20,Distorto,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113773239/distorto,3.6,-1,Sport,5.12c,1,,34.3588,-85.67018
21,Obsession,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112786074/obsession,2.7,-1,Sport,5.10c,1,,34.36605,-85.66144
22,Porter's Arete,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113677727/porters-arete,4.0,-1,Sport,5.12d,1,,34.36605,-85.66144
23,Welcome to Little River,Brandnewbia > Little River Canyon > Alabama,https://www.mountainproject.com/route/116089852/welcome-to-little-river,4.0,-1,Sport,5.11c,1,,34.3577,-85.67626
24,Unshackled,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/115432938/unshackled,4.0,-1,Sport,5.13b,1,70.0,34.32235,-85.67426
25,Hang Me,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/115337335/hang-me,3.9,-1,Sport,5.12d,1,,34.364979999999996,-85.66091999999999
26,Showboat,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/112796416/showboat,3.9,-1,Sport,5.13b,1,55.0,34.37859,-85.63084
27,Katie Brown,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114115200/katie-brown,3.2,-1,Sport,5.12a,1,57.0,34.3588,-85.67018
28,Short Doug,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113849832/short-doug,3.5,-1,Sport,5.12c,1,50.0,34.3588,-85.67018
29,Jane,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113431703/jane,3.0,-1,Sport,5.12a,1,60.0,34.36605,-85.66144
30,Southern Comfort,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/116783267/southern-comfort,4.0,-1,Sport,5.14a,1,55.0,34.37859,-85.63084
31,Booger,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/112778870/booger,2.8,-1,Sport,5.10d,1,40.0,34.37859,-85.63084
32,Southern Comfort Right,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/116751392/southern-comfort-right,4.0,-1,Sport,5.14a,1,50.0,34.37859,-85.63084
33,Back in the Day,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/118561614/back-in-the-day,4.0,-1,Sport,5.13d,1,50.0,34.32235,-85.67426
34,Rotten Pillar,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112844621/rotten-pillar,3.1,-1,Sport,5.11d,1,,34.3588,-85.67018
35,Grace,Grace Falls > Little River Canyon > Alabama,https://www.mountainproject.com/route/114324155/grace,3.8,-1,Sport,5.12a,1,75.0,34.35929,-85.66846
36,Chumbucket,Grace Falls > Little River Canyon > Alabama,https://www.mountainproject.com/route/119184680/chumbucket,4.0,-1,Sport,5.12a,1,90.0,34.35929,-85.66846
37,Egyptian Orgasm,Brandnewbia > Little River Canyon > Alabama,https://www.mountainproject.com/route/119080602/egyptian-orgasm,4.0,-1,Sport,5.12b,1,,34.3577,-85.67626
38,Hot Takka,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/119745118/hot-takka,4.0,-1,Sport,5.11d,1,60.0,34.32235,-85.67426
39,Take,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/116996227/take,3.8,-1,Sport,5.12d,1,,34.364979999999996,-85.66091999999999
40,Double D,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114152935/double-d,3.8,-1,Sport,5.13a,1,80.0,34.3588,-85.67018
41,Iron Mike,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/115418990/iron-mike,3.3,-1,Sport,5.12a,1,45.0,34.32235,-85.67426
42,Tangerine,Wave Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113447520/tangerine,3.6,-1,Sport,5.12a,1,90.0,34.363890000000005,-85.66332
43,Heart of Darkness,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113046183/heart-of-darkness,3.6,-1,Sport,5.12d,1,60.0,34.36605,-85.66144
44,Man Show,The Concave > Little River Canyon > Alabama,https://www.mountainproject.com/route/112396240/man-show,3.7,-1,Sport,5.13d,1,,34.37859,-85.63084
45,Powder Keg,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113878152/powder-keg,3.2,-1,Sport,5.12b,1,50.0,34.364979999999996,-85.66091999999999
46,Straight Jacket,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/117316614/straight-jacket,3.5,-1,Sport,5.12b,1,,34.36424,-85.65413000000001
47,Double Aught,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113943980/double-aught,3.2,-1,Sport,5.12c,1,55.0,34.364979999999996,-85.66091999999999
48,Caliban,Spider Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114324095/caliban,3.5,-1,Sport,5.13-,1,100.0,34.35929,-85.66846
49,Solitary Confinement,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114619879/solitary-confinement,3.4,-1,Sport,5.12c,1,,34.36424,-85.65413000000001
50,Troubadour,Grace Falls > Little River Canyon > Alabama,https://www.mountainproject.com/route/114324167/troubadour,3.3,-1,Sport,5.12a,1,80.0,34.35929,-85.66846
51,Cheesecake,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113938702/cheesecake,2.6,-1,Sport,5.9,1,60.0,34.364979999999996,-85.66091999999999
52,ADR,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/113431780/adr,2.9,-1,Sport,5.11d,1,50.0,34.364979999999996,-85.66091999999999
53,Boogeyman,Ninja Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/117898818/boogeyman,3.5,-1,Sport,5.12c/d,1,80.0,34.33722,-85.6725
54,Scissor Kick,Brandnewbia > Little River Canyon > Alabama,https://www.mountainproject.com/route/116089954/scissor-kick,3.5,-1,Sport,5.12b,1,,34.3577,-85.67626
55,Grasshopper,Ninja Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112787057/grasshopper,3.1,-1,Sport,5.12a,1,70.0,34.33722,-85.6725
56,Touch of Gray,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112786218/touch-of-gray,2.8,-1,Sport,5.11d,1,,34.36605,-85.66144
57,Sickle,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112786266/sickle,2.5,-1,Sport,5.11a,1,,34.36605,-85.66144
58,Permatorque,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114045783/permatorque,3.1,-1,Sport,5.12c,1,,34.3588,-85.67018
59,Lithium,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114352130/lithium,3.2,-1,Sport,5.12a,1,,34.36424,-85.65413000000001
60,Spellbound,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/116575825/spellbound,3.3,-1,Sport,5.12+,1,45.0,34.364979999999996,-85.66091999999999
61,Tusk,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112786298/tusk,3.3,-1,Sport,5.12b,1,,34.36605,-85.66144
62,Escapee,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113878088/escapee,3.3,-1,Sport,5.12b,1,60.0,34.36424,-85.65413000000001
63,Out of Africa,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112786042/out-of-africa,2.8,-1,Sport,5.11c,1,,34.36605,-85.66144
