id,Avg Stars,Your Stars,Route Type,Pitches,Length,Area Latitude,Area Longitude,name,rating,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium
106131678,2.8,-1,Sport,1,45.0,35.1768,-85.68394,Rollo,5.11a,72,"['Tennessee', 'Foster Falls', 'The Sanford Wall']",https://www.mountainproject.com/route/106131678/rollo,https://cdn2.apstatic.com/photos/climb/111776583_sqsmall_1494303806.jpg,https://cdn2.apstatic.com/photos/climb/111776583_small_1494303806.jpg,https://cdn2.apstatic.com/photos/climb/111776583_smallMed_1494303806.jpg,https://cdn2.apstatic.com/photos/climb/111776583_medium_1494303806.jpg
106136498,4.0,-1,Sport,1,35.0,34.1804,-85.81700000000002,Toxic,5.12d,1,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106136498/toxic,https://cdn2.apstatic.com/photos/climb/118130350_sqsmall_1575779520.jpg,https://cdn2.apstatic.com/photos/climb/118130350_small_1575779520.jpg,https://cdn2.apstatic.com/photos/climb/118130350_smallMed_1575779520.jpg,https://cdn2.apstatic.com/photos/climb/118130350_medium_1575779520.jpg
106136524,2.4,-1,Sport,1,38.0,34.17961,-85.8179,Cruise This,5.12a,19,"['Alabama', 'Sand Rock', 'Holiday Block']",https://www.mountainproject.com/route/106136524/cruise-this,https://cdn2.apstatic.com/photos/climb/111341662_sqsmall_1494348526.jpg,https://cdn2.apstatic.com/photos/climb/111341662_small_1494348526.jpg,https://cdn2.apstatic.com/photos/climb/111341662_smallMed_1494348526.jpg,https://cdn2.apstatic.com/photos/climb/111341662_medium_1494348526.jpg
106136553,3.3,-1,Sport,1,50.0,34.180409999999995,-85.81555,Nothingness,5.12b/c PG13,6,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/106136553/nothingness,https://cdn2.apstatic.com/photos/climb/115352965_sqsmall_1537814375.jpg,https://cdn2.apstatic.com/photos/climb/115352965_small_1537814375.jpg,https://cdn2.apstatic.com/photos/climb/115352965_smallMed_1537814375.jpg,https://cdn2.apstatic.com/photos/climb/115352965_medium_1537814375.jpg
106136561,3.4,-1,Sport,1,35.0,34.1804,-85.81700000000002,Twinkle Toes,5.11c,11,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106136561/twinkle-toes,https://cdn2.apstatic.com/photos/climb/116654231_sqsmall_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_small_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_smallMed_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_medium_1585693007.jpg
106136567,3.0,-1,Sport,1,30.0,34.1804,-85.81700000000002,Pygmy,5.12a/b,3,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106136567/pygmy,https://cdn2.apstatic.com/photos/climb/116654231_sqsmall_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_small_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_smallMed_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_medium_1585693007.jpg
106154747,2.2,-1,Sport,1,40.0,35.17669,-85.6842,Witchy Woman,5.10c,35,"['Tennessee', 'Foster Falls', 'Rocket Slab']",https://www.mountainproject.com/route/106154747/witchy-woman,,,,
106202075,2.7,-1,Sport,1,50.0,35.17917,-85.67854,So What,5.11b,31,"['Tennessee', 'Foster Falls', 'So What Area']",https://www.mountainproject.com/route/106202075/so-what,https://cdn2.apstatic.com/photos/climb/112796515_sqsmall_1494315562.jpg,https://cdn2.apstatic.com/photos/climb/112796515_small_1494315562.jpg,https://cdn2.apstatic.com/photos/climb/112796515_smallMed_1494315562.jpg,https://cdn2.apstatic.com/photos/climb/112796515_medium_1494315562.jpg
106209500,1.0,-1,Trad,1,80.0,34.180409999999995,-85.81555,Crack in the Sky,5.10c/d,1,"['Alabama', 'Sand Rock', 'Sun Wall']",https://www.mountainproject.com/route/106209500/crack-in-the-sky,,,,
106209512,3.0,-1,Trad,1,80.0,34.1804,-85.81700000000002,Sand Jocks,5.10a,5,"['Alabama', 'Sand Rock', 'The Sandtrap']",https://www.mountainproject.com/route/106209512/sand-jocks,https://cdn2.apstatic.com/photos/climb/116648003_sqsmall_1575790465.jpg,https://cdn2.apstatic.com/photos/climb/116648003_small_1575790465.jpg,https://cdn2.apstatic.com/photos/climb/116648003_smallMed_1575790465.jpg,https://cdn2.apstatic.com/photos/climb/116648003_medium_1575790465.jpg
