Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bottom Feeder","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105893863/bottom-feeder,1.6,-1,Sport,5.12a,1,,35.17953,-85.67775
"Vividly Grey","Paradox Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668632/vividly-grey,2.0,-1,Sport,5.10a,1,90,35.18688,-85.70023
"You can't email your way into heaven","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/113602305/you-cant-email-your-way-into-heaven,2.0,-1,Trad,5.8,1,60,35.17715,-85.68247
Unknown,"Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/109223159/unknown,1.8,-1,Trad,5.6,1,60,35.17694,-85.68366
"Panty Raid","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/114787182/panty-raid,1.8,-1,Sport,5.9,1,80,35.19166,-85.69914
"Flim Flam","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/106232905/flim-flam,1.7,-1,Trad,5.8,1,40,35.17715,-85.68247
"Puss 'n Boots","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/118028654/puss-n-boots,2.0,-1,Sport,5.11b,1,90,35.19166,-85.69914
"Left Hook","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/118034541/left-hook,2.0,-1,Sport,5.11a,1,60,35.19166,-85.69914
"Trundle Your Grundle (Fight Club)","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/116673887/trundle-your-grundle-fight-club,2.0,-1,"Trad, TR","5.9- PG13",1,100,35.17702,-85.68673
"Tom and Jerry","White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/113789926/tom-and-jerry,2.0,-1,Sport,5.12d,1,70,35.17953,-85.67775
"The Big, Empty Eclipse of the Bum Beast","The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/113487235/the-big-empty-eclipse-of-the-bum-beast,2.0,-1,Sport,5.13c/d,1,55,35.1561,-85.67333
"Autocratic for the People","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106654222/autocratic-for-the-people,2.0,-1,Sport,5.13b,1,70,35.17702,-85.68673
Looters,"Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/113089543/looters,2.0,-1,Sport,5.12a,1,,35.17729,-85.68215
Hammerhead,"So What Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/113089429/hammerhead,2.0,-1,Sport,5.11a,1,,35.17917,-85.67854
"Street Crime","Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/113089492/street-crime,2.0,-1,Sport,5.11d,1,,35.17729,-85.68215
"Lynn's Route","The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/106006433/lynns-route,1.7,-1,Sport,5.11b,1,,35.17907,-85.6792
Earflaps,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/107627535/earflaps,1.5,-1,Sport,5.10b,1,30,35.17715,-85.68247
"Community Service","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/114504598/community-service,1.3,-1,Trad,"5.9 PG13",3,150,35.17715,-85.68247
"Launch Pad","Rocket Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/106314703/launch-pad,1.2,-1,Sport,5.12,1,45,35.17669,-85.6842
"Cornered Market","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/111843613/cornered-market,1.0,-1,Trad,5.8,1,50,35.17702,-85.68673
"Saved By Zeroes","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/111788674/saved-by-zeroes,1.0,-1,Trad,5.10c/d,1,80,35.17715,-85.68247
"Right Hook","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/118034642/right-hook,1.0,-1,Sport,5.11d,1,60,35.19166,-85.69914
"Turnin' Tricks","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/111871883/turnin-tricks,1.0,-1,Sport,5.10c,1,60,35.17702,-85.68673
Reach,"So What Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/113089472/reach,1.0,-1,Sport,5.12a/b,1,,35.17917,-85.67854
"Republican Give Away Program","Paradox Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/108479577/republican-give-away-program,1.0,-1,Sport,5.11a,1,90,35.18688,-85.70023
Katana,"Music City/The 5.9 Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/113973514/katana,-1.0,-1,Sport,5.12a,1,,35.18687,-85.70102
"Feet don't fail me now","Music City/The 5.9 Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/112293128/feet-dont-fail-me-now,-1.0,-1,Sport,5.11a/b,1,,35.18687,-85.70102
